ID,teff,teff_err,logg,logg_err,L,L_err,tpE,tpE_err,tp1,tp1_err
70 OphA,5300,60,4.555,0.023,0.59,0.02,3.808835893025007,0.4284471190035417,4.815773485850014,0.4648592241339115
alpha Cen B,5145,60,4.53,0.018000000000000002,0.51,0.02,3.2274230617749953,0.15629857525212917,3.5984436512750024,0.29805340772162797
tau Cet,5290,60,4.533,0.018000000000000002,0.5,0.02,3.291731351450002,0.19448030616273976,3.6525099073000056,0.3959533917821249
Sun,5777,60,4.438,0.0,1.0,0.0,12.332276581274986,0.2577037522479628,10.728618838375063,0.059734500158680946
del Pav,5550,60,4.306,0.034,1.22,0.04,20.498145273299947,1.0063795151243113,18.58569133750001,1.0775468262692478
alpha Cen A,5745,60,4.3180000000000005,0.017,1.51,0.05,28.42588565849992,1.7026587994398956,22.53916815384998,0.9669962660565855
iota Hor,6080,60,4.399,0.022000000000000002,1.64,0.05,29.846576195274903,0.8237666620239671,22.300826536349927,0.5152818609210847
mu Ara,5665,60,4.228,0.023,1.78,0.06,37.66191242975001,3.5655528585673477,28.583538193499983,2.4194198234108057
beta Vir,6050,60,4.125,0.018000000000000002,3.4,0.1,109.1397566197498,5.892775666114878,64.92709975475007,3.0877759729750696
beta Hyi,5790,60,3.955,0.018000000000000002,3.57,0.11,149.14913637000032,4.238409598408843,88.97648537000022,2.0760259463979334
alpha CMi,6485,60,3.972,0.018000000000000002,7.17,0.22,301.9085764700008,14.50352237393997,140.7106172339994,6.149995387189276
